Reporting.Org.on.Registry,Reporting.Orgs.in.Data
GB-COH-RC000658,GB-COH-RC000658
US-EIN-03-0419743,US-EIN-03-041973
US-EIN-22-2852248,US-EIN-22-2852248
GB-CHC-1071659,GB-CHC-1071659
ZW-ROD-MA988/87,ZW-ROD-MA988-87
US-EIN-463668128,US-EIN-46-3668128
US-EIN-203908371,CH-FDJP-107.856.445
CH-FDJP-66004229946,XI-PB-CH-6600422994-6
US-EIN-13-1804349,US-EIN-131-804-349
GB-CHC-285908,GB-CHC-285908
US-EIN-13-3622707,US-EIN-13-3622707
GB-CHC-1081247,GB-CHC-1081247
NP-CRO-45995/063/064,NP-CRO-45995-063-064
US-EIN-81-2339233,US-EIN-81-2339233
GB-COH-RC000749,GB-CHC-208728
NL-KVK-70292361,NL-KVK-70292361
PK-VSWA-511-2007,XI-IATI-VSWA-511-2007
KE-NGC-9381,KE-NGC-9381
FR-SIRET-4028868160030,FR-SIRET-4028868160030
GB-COH-01846493,GB-COH-GB-COH-01846493
FR-3,XI-IATI-FR-3
NL-KVK-27327087,NL-KVK-41150939
NL-KVK-40530953,International
LB-MOI-26_AD,XI-PB-26_AD
NL-CCI-20081098,GB-COH-1115482
GB-CHC-292506,GB-CHC-292506
XM-DAC-46009,XM-DAC-46009
NG-CAC-54522,NG-CAC-CAC-IT-NO.54522
47135,47135
NL-KVK-54436222,NL-KvK-54436222-27541
GPAF-IMP-031,dm
PK-SEC-0080655,XI-IATI-PK-SEC-0080655
KE-RCO-270901,KE-RCO-270901
TR-MOI-27-019-074,XI-IATI-27-019-074
ET-MOT-020/4/007,ET-MOT-0204007
FR-6,FR-SIREN-110-006-012
CO-RUE-860049972,CO-RUE-860049972
XI-BRIDGE-6385676864,XI-IATI-XI-BRIDGE-6385676864
GB-CHC-1082565,GB-CHC-1082565
XI-IATI-035026724,XI-IATI-035026724
GB-COH-04161656,GB-COH-04161656
XI-IATI-IADB,XI-IATI-IADB
GB-COH-2153193,GB-COH-21531930
GB-CHC-229476,GB-CHC-229476
XM-DAC-30011,XM-DAC-30011
TZ-TRA-102316134,TZ-TRA-www.idydc.or.tz
NL-KVK-41145371,XI-IATI-NL-KVK-41145371
XM-DAC-69-1,XM-DAC-69-1
GB-CHC-295224,GB-CHC-295224
NZ-1,XI-IATI-NZ-1
DK-CVR-37295728,DK-CVR-DK-CVR-37295728
IN-MCA-U74999DL2004NPL131340,oxfam_india
GB-COH-03122495,GB-COH-3122495
US-EIN-13-2702768,US-EIN-US-EIN-13-2702768
GB-COH-2394229,GB-COH-2394229
NL-KVK-30214009,NL-KVK-30214009
KR-GOV-010,KR-GOV-021
GB-SC-SC035314,GB-SC-SC035314
BE-BCE_KBO-0453475391,BE-GTCF-0453475391
ET-CSA-0638,ET-MOT-0638
XM-OCHA-FTS18563,YE-SFD
XI-IATI-5914-1107,XI-IATI-5914-1107
CH-4,XM-DAC-CH-4
US-EIN-941191246,US-EIN-941191246
BJ-IFU-6201408024805,BJ-IFU-6201000068700
BD-NAB-1301,BD-NAB-1301
TZ-BRE-63966,TZ-BRLA-63966
GB-9,GB-GOVUK-9
GB-GOV-1,GB-GOV-3
US-EIN-22-2852248,US-EIN-222852248
US-EIN-463668128,US-EIN-463668128
US-EIN-203908371,US-EIN-20-3908371
US-EIN-13-3622707,US-EIN-22-1754524
GB-CHC-1081247,GB-COH-1081247
NP-CRO-45995/063/064,NP-CRO-45995/063/064
NL-KVK-40530953,Nederland
NL-CCI-20081098,NL-CCI-20081098
GB-CHC-1082565,XI-IATI-W691075333
XM-DAC-69-1,XM-DAC-69-18
CH-4,﻿CH-4
BJ-IFU-6201408024805,BJ-IFU-6201408024805
GB-CHC-1081247,GB-COH-4016725
NL-KVK-40530953,NL-KVK-40530953
XM-DAC-69-1,XM-DAC-69-2
XM-DAC-69-1,XM-DAC-69-3
XM-DAC-69-1,XM-DAC-69-30
XM-DAC-69-1,XM-DAC-69-4
XM-DAC-69-1,XM-DAC-69-5
XM-DAC-69-1,XM-DAC-69-50
XM-DAC-69-1,XM-DAC-69-99
GB-CHC-292506,GB-CHC-292507
GB-CHC-292506,GB-CHC-292508
GB-CHC-292506,GB-CHC-292509
GB-CHC-292506,GB-CHC-292510
GB-CHC-292506,GB-CHC-292511
GB-CHC-292506,GB-CHC-292512
GB-CHC-292506,GB-CHC-292513
GB-CHC-292506,GB-CHC-292515
GB-CHC-292506,GB-CHC-292516
GB-CHC-292506,GB-CHC-292517
GB-CHC-292506,GB-CHC-292518
GB-CHC-292506,GB-CHC-292521
GB-CHC-292506,GB-CHC-292522
GB-CHC-292506,GB-CHC-292523
GB-GOR-OT1175,GB-GOR-GB-GOR-OT1175
