publisher,code,text,count,category,category_year
aai,0.0.0,No messages for publisher,0,<=1M,2018
aaik,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 1M & <= 10M,2020
aaik,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 1M & <= 10M,2020
aak,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",1,No spend data for 2018-2020,
aanl,8.9.3,The @value should be omitted for qualitative measures.,1,> 1M & <= 10M,2018
aanl,8.10.3,The @value should be omitted for qualitative measures.,1,> 1M & <= 10M,2018
aar,6.9.1,The organisation must have an identifier or a narrative.,2,> 1M & <= 10M,2019
aasaman,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
aauk,6.9.1,The organisation must have an identifier or a narrative.,2,> 10M & <= 100M,2019
aauk,9.76.1,The OECD DAC sector is invalid.,2,> 10M & <= 100M,2019
aauk,1.10.1,The identifier should not start or end with spaces or newlines.,2,> 10M & <= 100M,2019
aauk,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
aauk,1.15.1,The identifier should not start or end with spaces or newlines.,2,> 10M & <= 100M,2019
aauk,107.2.1,The transaction should also contain a code from the DAC Type of Aid vocabulary.,1,> 10M & <= 100M,2019
aauk,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
aauk,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,> 10M & <= 100M,2019
aauk,9.51.1,The recipient region code is invalid.,1,> 10M & <= 100M,2019
aauk,1.3.1,The identifier should not start or end with spaces or newlines.,2,> 10M & <= 100M,2019
abaseen,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
ablechildafrica,2.2.1,"When using a reporting organisation sector code (vocabulary 98 or 99), it must include a narrative.",1,<=1M,2020
ablechildafrica,8.6.3,The start of the period must be before the end of the period.,1,<=1M,2020
abt,7.5.3,Budget Period must not be longer than one year.,1,> 1M & <= 10M,2018
abt,7.5.2,Budget Value must include a Value Date.,2,> 1M & <= 10M,2018
abt,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",2,> 1M & <= 10M,2018
abt,3.1.1,Percentages are missing for one or more recipient countries.,2,> 1M & <= 10M,2018
abt,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,> 1M & <= 10M,2018
abtbritain,1.10.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
abtbritain,1.4.1,The identifier should not start or end with spaces or newlines.,2,No spend data for 2018-2020,
abtbritain,1.15.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
abtbritain,1.5.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
acaa,6.9.1,The organisation must have an identifier or a narrative.,1,No spend data for 2018-2020,
acaa,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
acaa,1.10.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
acatba,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
acatba,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
acceleratornepal,6.9.1,The organisation must have an identifier or a narrative.,1,<=1M,2018
accountablenow,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,No spend data for 2018-2020,
acet,11.1.5,The actual end date of the activity must not be in the future.,2,> 1M & <= 10M,2019
acet,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",1,> 1M & <= 10M,2019
acet,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",4,> 1M & <= 10M,2019
acf,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",3,> 10M & <= 100M,2019
acf,3.4.1,Percentages are missing for one or more recipient countries or regions.,29,> 10M & <= 100M,2019
acf-fr,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
acfshr,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
acfspain,6.9.1,The organisation must have an identifier or a narrative.,1,No spend data for 2018-2020,
acfspain,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",11,No spend data for 2018-2020,
acfspain,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",11,No spend data for 2018-2020,
achest,8.10.1,"The actual must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",2,<=1M,2019
achest,4.4.1,The description must contain narrative content.,1,<=1M,2019
acodev,8.10.2,The @value should be a valid number for all non-qualitative measures.,4,> 1M & <= 10M,2018
acodev,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
acord,7.5.3,Budget Period must not be longer than one year.,3,No spend data for 2018-2020,
acord,3.4.1,Percentages are missing for one or more recipient countries or regions.,2,No spend data for 2018-2020,
across,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
across,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,No spend data for 2018-2020,
act4africa,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
actec,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
actec,11.2.1,The transaction date must not be in the future.,1,> 1M & <= 10M,2018
actec,11.2.2,The transaction value date must not be in the future.,1,> 1M & <= 10M,2018
actec,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,> 1M & <= 10M,2018
actec,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,> 1M & <= 10M,2018
acted,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",1,No spend data for 2018-2020,
acu,11.1.5,The actual end date of the activity must not be in the future.,1,<=1M,2018
acumen,11.1.5,The actual end date of the activity must not be in the future.,2,> 1M & <= 10M,2019
acumen,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",3,> 1M & <= 10M,2019
acumen,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 1M & <= 10M,2019
acwfs_vu,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,7,No spend data for 2018-2020,
ada,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2018
addinternational,6.9.1,The organisation must have an identifier or a narrative.,3,> 1M & <= 10M,2018
addinternational,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 1M & <= 10M,2018
addinternational,1.15.1,The identifier should not start or end with spaces or newlines.,2,> 1M & <= 10M,2018
addinternational,11.2.2,The transaction value date must not be in the future.,1,> 1M & <= 10M,2018
addinternational,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",10,> 1M & <= 10M,2018
addinternational,3.4.1,Percentages are missing for one or more recipient countries or regions.,7,> 1M & <= 10M,2018
addinternational,9.88.1,The organisation type is invalid.,3,> 1M & <= 10M,2018
addinternational,6.10.1,The participating organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2018
addinternational,1.1.2,The activity identifier must not occur multiple times in the dataset.,2,> 1M & <= 10M,2018
addinternational,9.85.1,The recipient country code is invalid.,6,> 1M & <= 10M,2018
addinternational,6.11.1,The activity must have a planned or actual start date.,3,> 1M & <= 10M,2018
addinternational,9.89.1,The organisation type is invalid.,3,> 1M & <= 10M,2018
addinternational,9.86.1,The recipient region code is invalid.,5,> 1M & <= 10M,2018
addinternational,3.6.2,"If the activity has recipient-country or recipient-region information, none of the transactions should have a recipient-country or recipient-region.",6,> 1M & <= 10M,2018
adja-ouere,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
adja-ouere,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adja-ouere,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adja-ouere,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adjarra,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
adjarra,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adjarra,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,No spend data for 2018-2020,
adjarra,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adjarra,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adjarra,1.7.2,Organisation Identifier must be present.,1,No spend data for 2018-2020,
adjohoun,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
adjohoun,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adjohoun,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
adpp,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
adpp,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
adra-dk,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",3,<=1M,2018
adra-dk,107.2.1,The transaction should also contain a code from the OECD DAC aid type vocabulary.,2,<=1M,2018
adra-dk,7.9.4,"When a single budget item is declared, the percentage must either be omitted, or set to 100.",3,<=1M,2018
adra_nepal,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
adra_nepal,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
adra_nepal,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,No spend data for 2018-2020,
adrasom,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
adrauk,6.9.1,The organisation must have an identifier or a narrative.,1,<=1M,2018
adrauk,7.5.3,Budget Period must not be longer than one year.,4,<=1M,2018
adrauk,7.5.2,Budget Value must include a Value Date.,2,<=1M,2018
adrauk,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",2,<=1M,2018
adrauk,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2018
adrauk,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1,<=1M,2018
adrauk,9.88.1,The organisation type is invalid.,1,<=1M,2018
adrauk,9.89.1,The organisation type is invalid.,1,<=1M,2018
ads-nyanza,9.9.1,The currency code is invalid.,1,No spend data for 2018-2020,
ads-nyanza,9.3.1,The default currency code is invalid.,1,No spend data for 2018-2020,
adsb,6.9.1,The organisation must have an identifier or a narrative.,1,No spend data for 2018-2020,
adsb,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
adsb,1.10.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
adsb,1.4.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
aecid,7.5.3,Budget Period must not be longer than one year.,76,> 100M & <= 1B,2019
aecid,9.76.1,The OECD DAC sector is invalid.,2,> 100M & <= 1B,2019
aecid,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",284,> 100M & <= 1B,2019
aecid,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",2165,> 100M & <= 1B,2019
aecid,3.4.1,Percentages are missing for one or more recipient countries or regions.,1693,> 100M & <= 1B,2019
aecid,8.6.3,The start of the period must be before the end of the period.,1,> 100M & <= 1B,2019
aecid,1.8.13,"The identifier must not contain any of the symbols /, &, | or ?.",20,> 100M & <= 1B,2019
aecid,9.21.1,The default aid type is invalid.,2,> 100M & <= 1B,2019
aecid,4.4.1,The description has no narrative content.,1083,> 100M & <= 1B,2019
aecid,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,2165,> 100M & <= 1B,2019
aecid,9.90.1,The OECD DAC sector is invalid.,15,> 100M & <= 1B,2019
aecid,9.39.1,"The ""other identifier"" type is invalid.",2165,> 100M & <= 1B,2019
aecid,1.1.2,The activity identifier must be unique for each activity.,44,> 100M & <= 1B,2019
aecom,0.0.0,No messages for publisher,0,> 1M & <= 10M,2018
aeras,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,<=1M,2018
aet,7.5.3,Budget Period must not be longer than one year.,2,<=1M,2018
aet,9.76.1,The OECD DAC sector is invalid.,1,<=1M,2018
aet,7.5.2,Budget Value must include a Value Date.,2,<=1M,2018
aet,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",2,<=1M,2018
aet,3.4.1,Percentages are missing for one or more recipient countries or regions.,2,<=1M,2018
aet,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,<=1M,2018
aet,9.90.1,The OECD DAC sector is invalid.,1,<=1M,2018
af,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
afd,11.1.5,The actual end date of the activity must not be in the future.,4,> 1B,2020
afd,9.50.1,The recipient country code is invalid.,292,> 1B,2020
afd,4.3.1,The title must contain narrative content.,70,> 1B,2020
afd,11.1.2,The planned start date of the activity must be before the planned end date.,8,> 1B,2020
afd,4.4.1,The description must contain narrative content.,8,> 1B,2020
afdb,11.1.5,The actual end date of the activity must not be in the future.,138,> 1B,2020
afdb,9.42.1,The organisation type is invalid.,2640,> 1B,2020
afdb,11.1.3,The actual start date must be before the actual end date.,11,> 1B,2020
afdb,11.1.2,The planned start date must be before the planned end date.,2,> 1B,2020
afdb,4.4.1,The description has no narrative content.,245,> 1B,2020
afdb,9.34.1,The location's feature designation code is invalid.,71,> 1B,2020
afdb,9.120.1,The location type code is invalid.,71,> 1B,2020
afdb,9.39.1,"The ""other identifier"" type is invalid.",132,> 1B,2020
afdb,9.41.1,The organisation role is invalid.,1,> 1B,2020
afdb,9.29.1,The document language code is invalid.,6,> 1B,2020
afdb,9.27.1,The document format is invalid.,2,> 1B,2020
afdb,6.1.5,The document format must be present.,1,> 1B,2020
afelt,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
afemena,6.9.1,The organisation must have an identifier or a narrative.,1,No spend data for 2018-2020,
afemena,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
afemena,8.9.3,The @value should be omitted for qualitative measures.,1,No spend data for 2018-2020,
afemena,8.10.1,"The actual must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",2,No spend data for 2018-2020,
afemena,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
afemena,8.11.1,"If a result has a reference code, the indicator must not have a reference code.",2,No spend data for 2018-2020,
afemena,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
afewinternational,3.4.1,"When multiple recipient countries or regions are declared, each must have a percentage.",1,> 1M & <= 10M,2020
afewinternational,3.4.2,"Percentage values for recipient countries or regions, must add up to 100%.",1,> 1M & <= 10M,2020
afghanaid,6.9.1,The organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2018
afghanaid,7.5.3,Budget Period must not be longer than one year.,2,> 1M & <= 10M,2018
afghanaid,7.5.2,Budget Value must include a Value Date.,2,> 1M & <= 10M,2018
afghanaid,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",2,> 1M & <= 10M,2018
afghanaid,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 1M & <= 10M,2018
afidep,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
aflatoun,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
africalia,2.1.4,"For a single sector, the percentage must either be omitted, or set to 100.",1,> 1M & <= 10M,2019
africalia,8.10.2,The @value should be a valid number for all non-qualitative measures.,6,> 1M & <= 10M,2019
africalia,8.8.2,The @value should be a valid number for all non-qualitative measures.,6,> 1M & <= 10M,2019
africalia,8.9.2,The @value should be a valid number for all non-qualitative measures.,6,> 1M & <= 10M,2019
african_parks,4.4.1,The description has no narrative content.,14,No spend data for 2018-2020,
africanrevival,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
afrikagrupperna,9.76.1,The OECD DAC sector is invalid.,1,> 1M & <= 10M,2018
afrikagrupperna,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",53,> 1M & <= 10M,2018
afrikagrupperna,4.3.1,The title has no narrative content.,53,> 1M & <= 10M,2018
afrikagrupperna,4.4.1,The description has no narrative content.,41,> 1M & <= 10M,2018
afrikagrupperna,3.6.2,"If the activity has recipient-country or recipient-region information, none of the transactions should have a recipient-country or recipient-region.",53,> 1M & <= 10M,2018
afrikids,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,2,<=1M,2018
afrikids,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,<=1M,2018
afsc,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
agdevco,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",53,> 10M & <= 100M,2018
agdevco,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",53,> 10M & <= 100M,2018
ageintl,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,> 1M & <= 10M,2020
ageintl,1.15.1,The identifier should not start or end with spaces or newlines.,3,> 1M & <= 10M,2020
ageintl,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",1,> 1M & <= 10M,2020
agencia_do_zambeze,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,> 1M & <= 10M,2019
agra,0.0.0,No messages for publisher,0,> 1M & <= 10M,2020
agresults,3.7.1,Recipient country or recipient region should be declared for either the activity or for all transactions.,1,No spend data for 2018-2020,
agri3_fund,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
agriprofocus,7.5.3,Budget Period must not be longer than one year.,6,<=1M,2018
agriprofocus,1.10.1,The identifier should not start or end with spaces or newlines.,1,<=1M,2018
agriterra,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,> 10M & <= 100M,2019
agriterra,8.9.3,The @value should be omitted for qualitative measures.,9,> 10M & <= 100M,2019
agriterra,8.10.3,The @value should be omitted for qualitative measures.,3,> 10M & <= 100M,2019
agriterra,1.4.1,The identifier should not start or end with spaces or newlines.,144,> 10M & <= 100M,2019
agriterra,6.14.1,"When using a policy marker code for vocabulary 1, it must include a significance.",865,> 10M & <= 100M,2019
agriterra,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",74,> 10M & <= 100M,2019
agriterra,11.2.1,The transaction date must not be in the future.,44,> 10M & <= 100M,2019
agriterra,11.2.2,The transaction value date must not be in the future.,44,> 10M & <= 100M,2019
agriterra,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",28,> 10M & <= 100M,2019
agriterra,1.5.1,The identifier should not start or end with spaces or newlines.,144,> 10M & <= 100M,2019
agriterra,1.8.13,"The identifier must not contain any of the symbols /, &, | or ?.",2,> 10M & <= 100M,2019
agriterra,4.4.1,The description has no narrative content.,2,> 10M & <= 100M,2019
agriterra,8.8.3,The @value should be omitted for qualitative measures.,11,> 10M & <= 100M,2019
agriterra,1.8.1,The identifier should not start or end with spaces or newlines.,149,> 10M & <= 100M,2019
ahead,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2018
ai_1064413,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,<=1M,2019
ai_1064413,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,<=1M,2019
ai_1064413,7.5.2,Budget Value must include a Value Date.,1,<=1M,2019
ai_1064413,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",1,<=1M,2019
ai_1064413,3.4.1,"When multiple recipient countries or regions are declared, each must have a percentage.",1,<=1M,2019
ai_1064413,4.3.1,The title must contain narrative content.,1,<=1M,2019
ai_1064413,4.4.1,The description must contain narrative content.,1,<=1M,2019
ai_1064413,9.93.1,The transaction type is invalid.,1,<=1M,2019
ai_1064413,6.10.1,The participating organisation must have an identifier or a narrative.,1,<=1M,2019
ai_1064413,6.11.1,The activity must have a planned start date or an actual start date.,1,<=1M,2019
ai_1064413,6.2.1,The activity status code must be present.,1,<=1M,2019
ai_1064413,6.3.1,The organisation type must be present.,1,<=1M,2019
ai_1064413,1.7.2,Organisation Identifier must be present.,1,<=1M,2019
aias,0.0.0,No messages for publisher,0,> 1M & <= 10M,2019
aics,9.76.1,The OECD DAC sector is invalid.,70,> 100M & <= 1B,2018
aics,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1952,> 100M & <= 1B,2018
aics,9.42.1,The organisation type is invalid.,33,> 100M & <= 1B,2018
aics,4.3.1,The title has no narrative content.,38,> 100M & <= 1B,2018
aics,1.1.2,The activity identifier must not occur multiple times in the dataset.,4280,> 100M & <= 1B,2018
aiddata,11.1.5,The actual end date of the activity must not be in the future.,72,No spend data for 2018-2020,
aiddata,2.1.2,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",6,No spend data for 2018-2020,
aiddata,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,5285,No spend data for 2018-2020,
aiddata,9.76.1,The OECD DAC sector is invalid.,986,No spend data for 2018-2020,
aiddata,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",15306,No spend data for 2018-2020,
aiddata,9.50.1,The recipient country code is invalid.,5,No spend data for 2018-2020,
aiddata,11.1.3,The actual start date must be before the actual end date.,16,No spend data for 2018-2020,
aiddata,9.77.1,The OECD DAC category is invalid.,3765,No spend data for 2018-2020,
aiddata,6.11.1,The activity must have a planned or actual start date.,615,No spend data for 2018-2020,
aiddata,3.1.2,"Percentages for recipient countries, must add up to 100%.",19,No spend data for 2018-2020,
aidenvironment,7.5.3,Budget Period must not be longer than one year.,6,<=1M,2019
aidspan,0.0.0,No messages for publisher,0,<=1M,2018
aipr,2.1.4,"For a single sector, the percentage must either be omitted, or set to 100.",2,No spend data for 2018-2020,
aipr,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,No spend data for 2018-2020,
aiuk,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",1,No spend data for 2018-2020,
aiuk,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,No spend data for 2018-2020,
ajar,8.9.3,The target value should be omitted for qualitative measures.,1,<=1M,2020
ajar,8.10.3,The actual value should be omitted for qualitative indicator measures.,1,<=1M,2020
ajar,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,<=1M,2020
ajar,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",1,<=1M,2020
ajar,8.8.1,"The baseline must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,<=1M,2020
akf_afghanistan,1.15.1,The identifier should not start or end with spaces or newlines.,1,> 1M & <= 10M,2019
akfuk73,7.5.3,Budget Period must not be longer than one year.,2,> 10M & <= 100M,2018
akfuk73,7.5.2,Budget Value must include a Value Date.,1,> 10M & <= 100M,2018
akfuk73,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",1,> 10M & <= 100M,2018
akfuk73,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 10M & <= 100M,2018
akfuk73,11.2.2,The transaction value date must not be in the future.,1,> 10M & <= 100M,2018
akfuk73,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1,> 10M & <= 100M,2018
akfuk73,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
akfuk73,9.85.1,The recipient country code is invalid.,1,> 10M & <= 100M,2018
akpro-misserete,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
akpro-misserete,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
aktis,6.9.1,The organisation must have an identifier or a narrative.,3,<=1M,2018
aktis,7.5.3,Budget Period must not be longer than one year.,3,<=1M,2018
aktis,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,<=1M,2018
aktis,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,<=1M,2018
aktis,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2018
