publisher,reporting_org_name,reporting_org_ref,total.spend
ss-org,Sightsavers,GB-CHC-207544,90190961.4021998
ssn,SouthSouthNorth,ZA-NPO-048-364,1385905.253309
st_vluchteling,Stichting Vluchteling,NL-KVK-41149486,7105145.0239
stad,Support Trust for Africa Development,NL-KVK-27251823,3031082.871245
stichting_hivos,Hivos,NL-KVK-41198677,24425275.845549
street_child,Street Child,GB-CHC-1128536,816065.180454527
surf,Survivors Fund (SURF),GB-CHC-1065705,31392.5
taf,The Asia Foundation,US-EIN-941191246,980429
tdh_nl,tdh_nl,NL-KVK-41149287,2607754.64136
tear,Tear Nederland,NL-KVK-41177385,18465090.3811
tearfund,tearfund,GB-CHC-265464,2895467.849492
the_mentor_initiative,The MENTOR Initiative,GB-COH-05126149,4242470.750824
the_power_of_nutrition,The Power of Nutrition,GB-COH-09288843,14153000
theglobalfund,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,3585113011.18
thp_org,The Hunger Project Netherlands,NL-KVK-41201198,38362.8498
ti-uk,Transparency International UK,GB-CHC-1112842,1445025.681214
tib,Transparency International Bangladesh,BD-NAB-1301,11582635.9832
tkf1234,Tameer-e-Khalaq Foundation,PK-VSWA-32-2004,137719.9792
tlmew,The Leprosy Mission England and Wales,GB-CHC-1050327,24567.7705
tmea,TradeMark East Africa,KE-RCO-CPR/2009/5689,67640256.49
tni,Transnational Institute,NL-KVK-41201806,1680906.7077
traidcraft,Traidcraft Exchange,GB-COH-3031674,137829.637683
transparency-international,Transparency International Secretariat,XM-DAC-21033,9380599.5327
treea,TREE AID,GB-CHC-1135156,35274.49655
trias,Trias,BE-BCE_KBO-0427736148,51116.7734
troc,Trocaire (Northern Ireland),GB-COH-NI21482,411458.35825
trocaire,Trocaire,IE-CHY-20009601,3584487.7996
uaf,Urgent Action Fund for Women's Human Rights,US-EIN-03-041973,442838.33
udom,The University of Dodoma,XI-GRID-grid.442459.a,31649.9185
udpk,UDPK,KE-RSO-14210,452819.192
ukmod,Ministry of Defence,GB-GOV-8,4990478.382456
umu,Uganda Martyrs University,UG-RSB-80010000253134/25060,28868.543
unaids,The Joint United Nations Programme on HIV and AIDS (UNAIDS) Secretariat,XM-DAC-41110,58686008
uncdf,United Nations Capital Development Fund (UNCDF),XM-DAC-41111,65948595.13
uncdf,United Nations Capital Development Fund,XM-DAC-41111,1244.69
undp,United Nations Development Programme,XM-DAC-41114,4263944325
unf,United Nations Foundation,US-EIN-58-2368165,279095
unfpa,United Nations Population Fund,41119,761272333.450001
uni_of_nottingham,University of Nottingham,GB-COH-RC000664,533182.777
unicef,UNICEF,XM-DAC-41122,5654245039
unicefnl,UNICEF Nederland,NL-KVK-27102631,2274503.2431
unido,United Nations Industrial Development Organization,XM-DAC-41123,190258666.969999
unitedstates,The federal government of the United States,US-USAGOV,5695799700.96004
universiteit_leiden,Universiteit Leiden,NL-KVK-27368929,391696.8484
unocha,United Nations Office for the Coordination of Humanitarian Affairs,XM-DAC-41127,244550839
unocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs,XM-OCHA-CBPF,830868952.919999
unops,United Nations Office for Project Services,41AAA,1985425204
unrwa,United Nations Relief and Works Agency for Palestine Refugees in the Near East,XM-DAC-41130,1407755659.42
uom,The University of Manchester,GB-COH-RC000797,106228.4529
uq,Upper Quartile,GB-COH-SC301345,1164022.448016
usaid,U.S. Agency for International Development,US-GOV-1,20928645264.8704
utd,Unitaid,XM-DAC-30010,215407708
utz,UTZ - joined forces with Rainforest Alliance,NL-KVK-34159275,3603246.503175
uvw,Unie van Waterschappen,NL-KVK-40407706,2116324.716
uwezo_youth_empowerment,UWEZO Youth Empowerment,RW-RGB-101-RGB-NGO-2014,29351.8808
varkeyfoundation,VARKEY FOUNDATION,GB-CHC-1145119,2725112.6058
varkeyfoundation,PLAN INTERNATIONAL,GB-CHC-1145119,1095776.5594
vei_nl,VEI,NL-KVK-08134161,16011572.8597
vfi,VisionFund International,US-EIN-22-3900800,35860.2806
villagewater,Village Water Ltd,GB-CHC-1117377,56244.510752
viva,Viva,GB-CHC-1053389,2174386.4441
vngi,VNG International,NL-KVK-27195046,458125.708887
vso,Voluntary Service Overseas,GB-CHC-313757,34300924.928069
vvob,VVOB Education for Development,BE-BCE_KBO-0423616717,9435248.4556
vvsg,VVSG - Association of Flemish Cities and Municipalities,BE-BCE_KBO-0451857573,61770.5
w-d,Stichting Woord en Daad,NL-KVK-41118168,2492323.914392
wageningen_ur,Wageningen University & Research - Stichting Wageningen Research,NL-KVK-09098104,558964.343025
warchildholland,War Child Holland,NL-KVK-41215393,21284836.2122
water-witness-international,Water Witness International,GB-COH-353570,11011.258414
wateraid,WaterAid,GB-CHC-288701,3439473.316437
wateraid,"",GB-CHC-288701,15286377.025785
wccuk,World Child Cancer UK,GB-CHC-1084729,9182.9341
wcuk,War Child UK,GB-CHC-1071659,127947589.890067
wedo,Women's Environment & Development Organization,US-EIN-52-1238773,66630.92
wei,World Education Inc.,US-EIN-131-804-349,2502290.103114
wellfound,WELLFOUND,GB-CHC-1110434,159434.9733
wep,Women Environmental Programme,NG-CAC-495140,3696110.1538
wf-asia,Women's Fund Asia,LK-DRC-GA139,1662214.420687
wff,Water Finance Facility,NL-KVK-60633468,2716456.5703
wfp,World Food Programme,XM-DAC-41140,7627773750
wfwiuk,Women for Women International (UK),GB-CHC-1115109,1962999.573423
wgnrr_iati,WGNRR,PH-SEC-FN200806591,94912.192672
who,World Health Organization,XM-DAC-928,2944267071.43001
whpca,Worldwide Hospice and Palliative Care Alliance,GB-COH-06735120,84163.305057
wjr_001,World Jewish Relief,GB-CHC-290767,365098.353745
wnf,WWF Netherlands,NL-KVK-41177588,1865243.3569
woda_0486,Wolaiyta Development Association,ET-CSA-0486,39919.6375625646
worldbank,World Bank,44000,37445120916
worldveg,World Vegetable Center,XM-DAC-47008,1121346
worldwaternet,World Waternet,NL-KVK-34271281,156427.6142
wri,World Resources Institute,US-EIN-521257057,928745.96
wusc,World University Service of Canada,CA-CRA_ARC-119304848,6334508.23824
wvi,World Vision International,US-EIN-95-3202116,1999744663
wvnld,World Vision Netherlands,NL-KVK-41179943,8392058.548016
wvuk,World Vision UK,GB-CHC-285908,9912818.157542
wvz-gec,World Vision International - Zimbabwe,ZW-PVO-26/79,223589.02
ww-gvc,We World - GVC ONLUS,IT-RI-97241280151,1003990.7526
wwf-be,WWF-Belgium,BE-BCE_KBO-0408656248,2292362.846686
wygi,WYG International B.V.,NL-KVK-06702132,22008309.26701
ycare,Y Care International,GB-CHC-1109789,591290.143816
yffhsd,Yamaan Foundation for Health and Social Development,YE-MSAL-80/295,745667.08315
ywcabd,Young Women's Christian Association of Bangladesh,BD-NAB-051,22997.957145
zoa,ZOA,NL-KVK-41009723,24251330.5359
zsl,Zoological Society of London,GB-CHC-208728,9882213.563202
